date,n_p,n_k,N_k,Y_k,varY_k,se_k,df_num,df_den,df,t_star,ci_lower,ci_upper
2017-04-12,3,9,72,0,0,0,0,0,0,0,0,0
2017-04-13,3,9,72,198,25734,160.41820345584225,25734,212311308,3,3.1824463052837078,-313,709
2017-04-14,3,7,72,112,10976.000000000002,104.76640682967037,10976.000000000002,60236288.00000002,2,4.302652729749462,-339,563
2017-04-15,3,9,72,24,168,12.96148139681572,168,14112,2,4.302652729749462,-32,80
2017-04-16,3,5,72,0,0,0,0,0,0,0,0,0
2017-04-17,3,8,72,3400,1298944,1139.71224438452,1298943.9999999998,560645629503.9999,3,3.1824463052837078,-227,7027
2017-04-18,3,16,72,1944,2834352,1683.5533849569488,2834352,1606710251980.8,5,2.5705818356363137,-2384,6272
2017-04-19,3,10,72,1562,303190,550.6269154336718,303190,17948164876,5,2.5705818356363137,147,2977
2017-04-20,3,11,72,0,0,0,0,0,0,0,0,0
2017-04-21,3,8,72,208,9800,98.99494936611666,9800,45874976,2,4.302652729749462,-218,634
2017-04-22,3,12,72,0,0,0,0,0,0,0,0,0
2017-04-23,3,9,72,0,0,0,0,0,0,0,0,0
2017-04-24,3,11,72,1026,2030,45.05552130427524,2030,1056833.3333333335,4,2.7764451051977934,901,1151
2017-04-25,3,12,72,232,7575.200000000002,87.03562489004145,7575.200000000002,11386854.560000006,5,2.5705818356363137,8,456
2017-04-26,3,9,72,0,0,0,0,0,0,0,0,0
2017-04-27,1,3,24,4984,4247432,2060.9298872111103,4247432,9020339297312,2,4.302652729749462,-3883,13851
2017-04-28,3,10,72,10332,2105352,1450.9831149947954,2105352,1378047566784,3,3.1824463052837078,5714,14950
2017-04-29,3,12,72,34741,36554323.04,6046.01712203993,36554323.04,235485529929681.66,6,2.446911851144969,19947,49535
2017-04-30,3,12,72,21162,19873130,4457.928891312647,19873130,58623098677699.99,7,2.3646242515927844,10621,31703
2017-05-01,3,11,72,110,9494,97.43715923609432,9494,44783948,2,4.302652729749462,-309,529
2017-05-02,3,12,72,30,750,27.386127875258307,750,187500,3,3.1824463052837078,-57,117
2017-05-03,3,10,72,4902,5466182.000000001,2337.9867407665083,5466182.000000001,14932413560225.34,2,4.302652729749462,-5158,14962
2017-05-04,3,11,72,216,19440,139.427400463467,19440,125971200,3,3.1824463052837078,-228,660
2017-05-05,3,9,72,0,0,0,0,0,0,0,0,0
2017-05-06,3,11,72,0,0,0,0,0,0,0,0,0
2017-05-07,3,12,72,0,0,0,0,0,0,0,0,0
2017-05-08,3,10,72,9656,38305064,6189.108497998723,38305064,733638964022048,2,4.302652729749462,-16974,36286
2017-05-09,3,13,72,12,120,10.954451150103322,120,4800,3,3.1824463052837078,-23,47
2017-05-10,3,10,72,320,89599.99999999999,299.33259094191527,89599.99999999999,4014079999.9999986,2,4.302652729749462,-968,1608
2017-05-11,3,11,72,0,0,0,0,0,0,0,0,0
2017-05-12,3,11,72,12336,35472024.00000001,5955.8394874274445,35472024.00000001,629132243328288.25,2,4.302652729749462,-13290,37962
2017-05-13,3,11,72,6396,9733968,3119.930768462659,9733968,31582287494112,3,3.1824463052837078,-3533,16325
2017-05-14,3,6,72,12,132.00000000000003,11.489125293076059,132.00000000000003,17424.000000000007,1,12.706204736174692,-134,158
2017-05-15,3,11,72,0,0,0,0,0,0,0,0,0
2017-05-16,3,13,72,6509,10554822.239999998,3248.8185914267356,10554822.24,27851068129499.656,4,2.7764451051977934,-2511,15529
2017-05-17,3,10,72,24790,7065765.999999999,2658.150861031029,7065765.999999999,15960522903073.328,3,3.1824463052837078,16331,33249
2017-05-18,3,12,72,76404,69672500,8347.005451058481,69672500,686608113555800.1,7,2.3646242515927844,56666,96142
2017-05-19,3,11,72,58316,75176067.99999999,8670.413369615084,75176067.99999999,970414221424845,6,2.446911851144969,37100,79532
2017-05-20,3,10,72,64266,67023910,8186.813177299211,67023910,757229715554433.5,6,2.446911851144969,44234,84298
2017-05-21,3,10,72,41009,38421255.839999996,6198.488189873398,38421255.84,215706272692862.72,7,2.3646242515927844,26352,55666
2017-05-22,3,9,72,2282,2250390,1500.1299943671547,2250390,1034066128033.3333,5,2.5705818356363137,-1574,6138
2017-05-23,3,12,72,7860,9890419.999999998,3144.9038141094234,9890419.999999998,32007059780866.656,3,3.1824463052837078,-2148,17868
2017-05-24,3,10,72,208,14336,119.73303637676612,14336,99599360,2,4.302652729749462,-307,723
2017-05-25,3,10,72,6,30,5.477225575051661,30,300,3,3.1824463052837078,-11,23
2017-05-26,3,11,72,1200,254140.00000000003,504.1230008638765,254140.00000000003,21523964333.33334,3,3.1824463052837078,-404,2804
2017-05-27,3,7,72,7068,6322579.999999999,2514.4741000853437,6322579.999999999,12986339052133.33,3,3.1824463052837078,-934,15070
2017-05-28,3,11,72,24421,14926276.639999999,3863.453977983949,14926276.639999999,44143501708458.49,5,2.5705818356363137,14489,34352
2017-05-29,3,10,72,5318,13364486,3655.7469824920872,13364486,87170601882188,2,4.302652729749462,-10411,21047
2017-05-30,3,12,72,25968,87667395.19999999,9363.086841421476,87667395.19999999,3146195059400840.5,2,4.302652729749462,-14318,66254
2017-05-31,3,9,72,16210,10877725.999999998,3298.139778723758,10877725.999999998,110233929698155.95,1,12.706204736174692,-25697,58117
2017-06-01,3,13,72,17600,12007653.359999998,3465.2061064242625,12007653.359999998,25462274487195.88,6,2.446911851144969,9121,26079
2017-06-02,3,11,72,28290,66920645.99999999,8180.504018702026,66920645.99999999,1408181984851094.2,3,3.1824463052837078,2256,54324
2017-06-03,3,8,72,37612,104270876,10211.311179275657,104270876,6656427176754224,2,4.302652729749462,-6324,81548
2017-06-04,3,10,72,14184,7428092.000000001,2725.4526229600838,7428092.000000001,12443665799717.336,4,2.7764451051977934,6617,21751
2017-06-05,3,5,72,372,3300.0000000000005,57.44562646538029,3300.0000000000005,10890000.000000004,1,12.706204736174692,-358,1102
2017-06-06,3,11,72,0,0,0,0,0,0,0,0,0
2017-06-07,3,12,72,6,30,5.477225575051661,30,300,3,3.1824463052837078,-11,23
2017-06-08,3,10,72,138,4270.000000000001,65.34523701081817,4270.000000000001,5357633.333333336,3,3.1824463052837078,-70,346
2017-06-09,3,9,72,10422,49825262,7058.70115531179,49825262,2201407391094977.2,1,12.706204736174692,-79267,100111
2017-06-10,3,13,72,20486,70551549.75999999,8399.496994463418,70551549.75999999,1574836317986738.2,3,3.1824463052837078,-6245,47217
2017-06-11,3,6,72,12344,16972280,4119.742710412872,16972279.999999996,114339226988575.94,3,3.1824463052837078,-767,25455
2017-06-12,3,7,72,5100,1108476,1052.841868468385,1108476,537290032176,2,4.302652729749462,570,9630
2017-06-13,3,13,72,1428,159381.6,399.22625164184785,159381.6,4401335252.64,6,2.446911851144969,451,2405
2017-06-14,3,9,72,1256,122304,349.7198879103103,122304,4468790592,3,3.1824463052837078,143,2369
2017-06-15,3,11,72,2536,679012,824.0218443706453,679012,104820104525.3333,4,2.7764451051977934,248,4824
2017-06-16,3,8,72,616,138415.99999999997,372.04300826651746,138416,9134940224,2,4.302652729749462,-985,2217
2017-06-17,3,11,72,348,15588,124.85191228010886,15588,116886072,2,4.302652729749462,-189,885
2017-06-18,3,9,72,702,155306,394.08882247533995,155306,10998444529.333334,2,4.302652729749462,-994,2398
2017-06-19,3,10,72,804,143432.00000000003,378.72417403698967,143432.00000000003,5674128405.333336,4,2.7764451051977934,-248,1856
2017-06-20,3,13,72,17,138.24,11.757550765359255,138.24,4883.1744,4,2.7764451051977934,-16,49
2017-06-21,3,11,72,82,1934,43.977266854592045,1934,999788,4,2.7764451051977934,-40,204
2017-06-22,3,8,72,0,0,0,0,0,0,0,0,0
2017-06-23,3,8,72,0,0,0,0,0,0,0,0,0
2017-06-24,2,5,48,0,0,0,0,0,0,0,0,0
2017-06-25,3,12,72,5,18.240000000000002,4.2708313008125245,18.240000000000006,83.17440000000005,4,2.7764451051977934,-7,17
2017-06-26,2,4,48,0,0,0,0,0,0,0,0,0
2017-06-27,3,8,72,0,0,0,0,0,0,0,0,0
2017-06-28,3,13,72,0,0,0,0,0,0,0,0,0
2017-06-29,3,11,72,0,0,0,0,0,0,0,0,0
2017-06-30,3,8,72,0,0,0,0,0,0,0,0,0
